tamanhoMem,minBloco,requisicoes,threads,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
1024,2,10,1,40,353063,,,,
2048,4,60,1,90,353714,,,,
1024,4,10,1,50,354004,,,,
4096,64,10,1,40,356059,,,,
2048,8,100,1,20,356820,,,,
1024,2,50,1,80,357842,,,,
1024,4,30,1,10,358583,,,,
1024,32,20,1,40,358694,,,,
2048,16,10,1,10,359034,,,,
2048,8,100,1,10,359845,,,,
8192,2,50,1,80,360086,,,,
8192,8,30,1,70,360126,,,,
2048,2,100,1,90,360146,,,,
1024,2,60,1,40,360156,,,,
2048,8,40,1,30,360406,,,,
4096,8,10,1,100,360427,,,,
2048,32,20,1,100,360547,,,,
1024,8,10,1,60,360567,,,,
2048,4,30,1,100,360907,,,,
2048,8,30,1,60,360987,,,,
2048,4,20,1,70,360997,,,,
1024,8,40,1,90,361017,,,,
1024,32,60,1,80,361328,,,,
2048,64,30,1,50,361488,,,,
1024,2,10,1,20,361579,,,,
2048,4,20,1,60,361679,,,,
4096,32,60,1,70,362150,,,,
1024,64,100,1,50,362400,,,,
2048,16,20,1,90,362470,,,,
2048,32,10,1,30,362601,,,,
1024,4,50,1,90,362691,,,,
4096,4,10,1,20,362750,,,,
2048,16,10,1,100,362751,,,,
8192,8,50,1,10,362801,,,,
1024,32,100,1,20,362902,,,,
1024,2,10,1,10,362911,,,,
1024,8,60,1,50,362971,,,,
8192,8,20,1,50,363102,,,,
2048,64,50,1,90,363192,,,,
2048,32,100,1,20,363262,,,,
2048,4,50,1,10,363362,,,,
4096,16,30,1,80,363382,,,,
1024,2,10,1,30,363672,,,,
8192,8,50,1,100,363713,,,,
1024,4,100,1,20,363863,,,,
1024,2,30,1,10,363912,,,,
2048,2,100,1,50,364013,,,,
1024,4,60,1,20,364183,,,,
1024,64,50,1,60,364214,,,,
4096,32,10,1,70,364283,,,,
8192,2,10,1,20,364284,,,,
2048,16,20,1,40,364314,,,,
1024,2,10,1,0,364635,,,,
1024,16,60,1,60,364845,,,,
1024,16,60,1,100,364895,,,,
8192,2,10,1,70,364904,,,,
2048,4,50,1,100,364905,,,,
2048,4,30,1,10,364945,,,,
8192,2,40,1,90,365085,,,,
8192,2,100,1,50,365086,,,,
2048,8,40,1,90,365115,,,,
2048,4,30,1,40,365125,,,,
8192,4,30,1,30,365135,,,,
4096,8,10,1,20,365145,,,,
1024,8,60,1,90,365216,,,,
8192,2,60,1,100,365216,,,,
2048,32,10,1,60,365345,,,,
4096,8,50,1,50,365356,,,,
2048,8,20,1,50,365395,,,,
