tamanhoMem,minBloco,requisicoes,threads,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
8192,32,1000,32,0,1,0.06,0.08,0.06,43796
8192,32,1000,32,10,1,0.07,0.10,0.04,43776
8192,32,1000,32,20,1,0.07,0.10,0.04,43672
8192,32,1000,32,30,1,0.06,0.09,0.04,43956
8192,32,1000,32,40,1,0.06,0.09,0.05,43584
8192,32,1000,32,50,1,0.06,0.10,0.04,43748
8192,32,1000,32,60,1,0.06,0.10,0.04,43776
8192,32,1000,32,70,1,0.06,0.09,0.05,43948
8192,32,1000,32,80,1,0.06,0.09,0.04,43772
8192,32,1000,32,90,1,0.07,0.09,0.05,43872
8192,32,1000,32,100,1,0.06,0.10,0.04,43884
8192,32,1000,64,0,1,0.06,0.09,0.07,48340
8192,32,1000,64,10,1,0.06,0.11,0.06,48104
8192,32,1000,64,20,1,0.06,0.12,0.05,47720
8192,32,1000,64,30,1,0.06,0.11,0.05,48224
8192,32,1000,64,40,1,0.06,0.10,0.05,47528
8192,32,1000,64,50,1,0.06,0.10,0.07,47984
8192,32,1000,64,60,1,0.06,0.11,0.06,48208
8192,32,1000,64,70,1,0.06,0.10,0.07,48424
8192,32,1000,64,80,1,0.06,0.11,0.05,47952
8192,32,1000,64,90,1,0.06,0.10,0.06,47740
8192,32,1000,64,100,1,0.07,0.11,0.06,47380
