tamanhoMem,minBloco,requisicoes,threads,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
8192,32,1000,32,0,1,0.77,0.50,1.13,52388
8192,32,1000,32,10,1,0.77,0.52,1.14,54012
8192,32,1000,32,20,1,0.77,0.50,1.14,52764
8192,32,1000,32,30,1,0.79,0.54,1.17,70560
8192,32,1000,32,40,1,0.75,0.52,1.09,51828
8192,32,1000,32,50,1,0.76,0.51,1.14,52400
8192,32,1000,32,60,1,0.77,0.52,1.12,58704
8192,32,1000,32,70,1,0.77,0.52,1.13,59396
8192,32,1000,32,80,1,0.77,0.51,1.15,61036
8192,32,1000,32,90,1,0.77,0.55,1.11,57380
8192,32,1000,32,100,1,0.75,0.50,1.13,51388
8192,32,1000,64,0,1,0.77,0.50,1.14,54428
8192,32,1000,64,10,1,0.76,0.51,1.14,56800
8192,32,1000,64,20,1,0.74,0.51,1.08,53248
8192,32,1000,64,30,1,0.79,0.49,1.20,53008
8192,32,1000,64,40,1,0.76,0.54,1.10,52096
8192,32,1000,64,50,1,0.76,0.48,1.13,52912
8192,32,1000,64,60,1,0.74,0.51,1.08,52584
8192,32,1000,64,70,1,0.74,0.52,1.09,53152
8192,32,1000,64,80,1,0.77,0.53,1.12,58628
8192,32,1000,64,90,1,0.75,0.52,1.09,50000
8192,32,1000,64,100,1,0.75,0.52,1.08,51240
