TamanhoMem,minBloco, requisicoes,threads,cleaningPercent ,execucao ,segundos
8192,16,1000,1,80,860090,0.86009
2048,32,1000,1,40,863486,0.863486
1024,32,1000,1,40,867253,0.867253
4096,2,1000,1,90,869848,0.869848
1024,4,1000,1,50,871291,0.871291
4096,8,1000,1,60,871300,0.8713
1024,4,1000,1,30,872091,0.872091
8192,2,1000,1,50,872553,0.872553
8192,2,1000,1,80,875418,0.875418
4096,64,1000,1,90,876741,0.876741
2048,4,1000,1,10,876831,0.876831
4096,8,1000,1,100,879095,0.879095
4096,4,1000,1,50,879536,0.879536
8192,64,1000,1,50,879606,0.879606
1024,32,1000,1,70,880147,0.880147
2048,64,1000,1,60,880667,0.880667
8192,32,1000,1,20,881169,0.881169
2048,64,1000,1,100,881348,0.881348
4096,8,1000,1,30,882611,0.882611
8192,64,1000,1,30,882871,0.882871
8192,2,1000,1,40,883012,0.883012
4096,32,1000,1,100,884184,0.884184
8192,8,1000,1,10,884394,0.884394
8192,64,1000,1,20,884544,0.884544
1024,32,1000,1,50,885556,0.885556
8192,32,1000,1,70,886639,0.886639
2048,64,1000,1,40,886769,0.886769
8192,2,1000,1,60,886960,0.88696
2048,16,1000,1,30,887189,0.887189
4096,16,1000,1,10,887360,0.88736
8192,32,1000,1,10,887660,0.88766
1024,64,1000,1,100,888181,0.888181
8192,32,1000,1,30,888402,0.888402
1024,32,1000,1,90,888903,0.888903
2048,64,1000,1,70,889474,0.889474
4096,16,1000,1,30,889594,0.889594
4096,16,1000,1,0,890516,0.890516
2048,64,1000,1,0,890676,0.890676
8192,32,1000,1,100,890756,0.890756
2048,16,1000,1,0,891318,0.891318
2048,8,1000,1,40,891488,0.891488
2048,2,1000,1,0,891718,0.891718
4096,16,1000,1,50,891988,0.891988
4096,16,1000,1,80,892629,0.892629
2048,2,1000,1,100,893541,0.893541
4096,32,1000,1,70,893652,0.893652
1024,8,1000,1,10,893692,0.893692
2048,8,1000,1,30,893771,0.893771
4096,64,1000,1,10,894393,0.894393
1024,4,1000,1,10,894723,0.894723
4096,64,1000,1,80,894844,0.894844
2048,64,1000,1,80,895194,0.895194
1024,8,1000,1,50,895595,0.895595
2048,32,1000,1,100,895605,0.895605
