TamanhoMem,minBloco, requisicoes,threads,cleaningPercent ,execucao ,segundos
2048,2,100,1,20,808184,0.808184
1024,32,100,1,70,808654,0.808654
4096,64,100,1,100,812451,0.812451
1024,32,100,1,20,813855,0.813855
8192,2,100,1,30,815718,0.815718
2048,32,100,1,70,816439,0.816439
2048,4,100,1,100,816680,0.81668
1024,32,100,1,40,816760,0.81676
2048,64,100,1,60,821257,0.821257
2048,64,100,1,80,821378,0.821378
4096,8,100,1,30,822910,0.82291
2048,2,100,1,10,823081,0.823081
1024,4,100,1,40,823612,0.823612
4096,8,100,1,40,823833,0.823833
4096,32,100,1,30,823853,0.823853
1024,4,100,1,70,824073,0.824073
8192,64,100,1,40,825355,0.825355
8192,64,100,1,70,825385,0.825385
4096,64,100,1,90,826006,0.826006
8192,4,100,1,70,826137,0.826137
4096,8,100,1,80,826448,0.826448
1024,8,100,1,10,826677,0.826677
1024,64,100,1,60,826718,0.826718
1024,32,100,1,60,826808,0.826808
2048,64,100,1,20,827269,0.827269
2048,4,100,1,60,828671,0.828671
8192,8,100,1,50,829192,0.829192
4096,32,100,1,90,830796,0.830796
1024,2,100,1,30,831036,0.831036
1024,16,100,1,90,831446,0.831446
2048,8,100,1,30,831798,0.831798
8192,32,100,1,70,832117,0.832117
1024,16,100,1,20,832249,0.832249
8192,32,100,1,10,832378,0.832378
2048,2,100,1,30,832438,0.832438
4096,4,100,1,100,832639,0.832639
2048,4,100,1,90,832659,0.832659
8192,64,100,1,20,832749,0.832749
4096,8,100,1,50,832849,0.832849
4096,64,100,1,10,832930,0.83293
1024,64,100,1,80,833351,0.833351
8192,64,100,1,50,833460,0.83346
2048,64,100,1,70,834052,0.834052
2048,2,100,1,100,834693,0.834693
8192,4,100,1,40,834843,0.834843
4096,4,100,1,80,835143,0.835143
2048,4,100,1,40,835364,0.835364
8192,8,100,1,40,835384,0.835384
4096,4,100,1,30,835534,0.835534
2048,8,100,1,90,835535,0.835535
2048,2,100,1,50,835564,0.835564
8192,4,100,1,100,835624,0.835624
1024,64,100,1,40,836015,0.836015
2048,32,100,1,40,836095,0.836095
4096,64,100,1,70,836175,0.836175
8192,4,100,1,30,836446,0.836446
1024,4,100,1,100,836576,0.836576
2048,2,100,1,70,837177,0.837177
1024,2,100,1,100,838109,0.838109
4096,64,100,1,80,838620,0.83862
8192,32,100,1,60,838830,0.83883
1024,16,100,1,30,838930,0.83893
2048,4,100,1,50,839151,0.839151
8192,64,100,1,30,839301,0.839301
8192,2,100,1,20,839451,0.839451
2048,4,100,1,0,839692,0.839692
1024,64,100,1,70,840243,0.840243
4096,4,100,1,70,840303,0.840303
8192,2,100,1,60,840353,0.840353
8192,8,100,1,90,840604,0.840604
8192,8,100,1,60,840744,0.840744
8192,64,100,1,90,840924,0.840924
4096,16,100,1,60,841685,0.841685
8192,4,100,1,90,842036,0.842036
4096,64,100,1,40,842056,0.842056
2048,4,100,1,70,842066,0.842066
4096,2,100,1,30,842768,0.842768
2048,2,100,1,0,842888,0.842888
4096,64,100,1,20,842978,0.842978
1024,32,100,1,10,843349,0.843349
4096,4,100,1,60,843569,0.843569
4096,4,100,1,90,843779,0.843779
4096,8,100,1,90,844150,0.84415
2048,32,100,1,10,844240,0.84424
2048,8,100,1,50,844360,0.84436
2048,32,100,1,20,844591,0.844591
8192,2,100,1,50,844851,0.844851
2048,8,100,1,40,844931,0.844931
2048,8,100,1,10,845051,0.845051
1024,2,100,1,20,845052,0.845052
8192,4,100,1,50,845162,0.845162
2048,4,100,1,20,845172,0.845172
4096,32,100,1,70,845433,0.845433
1024,64,100,1,100,845923,0.845923
8192,32,100,1,40,845934,0.845934
8192,8,100,1,10,846094,0.846094
8192,32,100,1,20,846394,0.846394
4096,8,100,1,70,846855,0.846855
8192,2,100,1,10,846866,0.846866
1024,2,100,1,50,846975,0.846975
1024,16,100,1,50,847105,0.847105
8192,64,100,1,100,847135,0.847135
