tamanhoMem ,minBloco, requisicoes,threads,cleaningPercent ,execucao ,segundos
1024,2,1,1,0,814976,0.814976
1024,2,1,1,10,816218,0.816218
1024,2,1,1,20,818482,0.818482
1024,2,1,1,30,818963,0.818963
1024,2,1,1,40,819114,0.819114
1024,2,1,1,50,820225,0.820225
1024,2,1,1,60,820417,0.820417
1024,2,1,1,70,820706,0.820706
1024,2,1,1,80,821418,0.821418
1024,2,1,1,90,821679,0.821679
1024,2,1,1,100,821769,0.821769
1024,2,1,2,0,822199,0.822199
1024,2,1,2,10,822210,0.82221
1024,2,1,2,20,823152,0.823152
1024,2,1,2,30,823942,0.823942
1024,2,1,2,40,824394,0.824394
1024,2,1,2,50,824484,0.824484
1024,2,1,2,60,824835,0.824835
1024,2,1,2,70,825145,0.825145
1024,2,1,2,80,825365,0.825365
1024,2,1,2,90,826087,0.826087
1024,2,1,2,100,826187,0.826187
1024,2,1,4,0,826768,0.826768
1024,2,1,4,10,826918,0.826918
1024,2,1,4,20,827369,0.827369
1024,2,1,4,30,828692,0.828692
1024,2,1,4,40,828732,0.828732
1024,2,1,4,50,828732,0.828732
1024,2,1,4,60,829443,0.829443
1024,2,1,4,70,829553,0.829553
1024,2,1,4,80,829683,0.829683
1024,2,1,4,90,829934,0.829934
1024,2,1,4,100,830626,0.830626
1024,2,1,8,0,830655,0.830655
1024,2,1,8,10,830685,0.830685
1024,2,1,8,20,831006,0.831006
1024,2,1,8,30,831416,0.831416
1024,2,1,8,40,831567,0.831567
1024,2,1,8,50,832007,0.832007
1024,2,1,8,60,832057,0.832057
1024,2,1,8,70,832328,0.832328
1024,2,1,8,80,832348,0.832348
1024,2,1,8,90,832909,0.832909
1024,2,1,8,100,833150,0.83315
1024,2,1,16,0,833431,0.833431
1024,2,1,16,10,833571,0.833571
1024,2,1,16,20,834893,0.834893
1024,2,1,16,30,834993,0.834993
1024,2,1,16,40,835333,0.835333
1024,2,1,16,50,835364,0.835364
1024,2,1,16,60,835575,0.835575
1024,2,1,16,70,835835,0.835835
1024,2,1,16,80,836415,0.836415
1024,2,1,16,90,837087,0.837087
1024,2,1,16,100,837197,0.837197
1024,2,1,32,0,837468,0.837468
1024,2,1,32,10,837608,0.837608
1024,2,1,32,20,837809,0.837809
1024,2,1,32,30,838410,0.83841
1024,2,1,32,40,838510,0.83851
1024,2,1,32,50,838560,0.83856
1024,2,1,32,60,838610,0.83861
1024,2,1,32,70,839111,0.839111
1024,2,1,32,80,839180,0.83918
1024,2,1,32,90,839501,0.839501
1024,2,1,32,100,839582,0.839582
1024,2,1,64,0,839992,0.839992
1024,2,1,64,10,840023,0.840023
1024,2,1,64,20,840283,0.840283
1024,2,1,64,30,840314,0.840314
1024,2,1,64,40,840894,0.840894
1024,2,1,64,50,840894,0.840894
1024,2,1,64,60,840984,0.840984
1024,2,1,64,70,841035,0.841035
1024,2,1,64,80,841114,0.841114
1024,2,1,64,90,841215,0.841215
1024,2,1,64,100,841294,0.841294
1024,4,1,1,0,841505,0.841505
1024,4,1,1,10,841586,0.841586
1024,4,1,1,20,841606,0.841606
1024,4,1,1,30,841696,0.841696
1024,4,1,1,40,841765,0.841765
1024,4,1,1,50,841916,0.841916
1024,4,1,1,60,841916,0.841916
1024,4,1,1,70,842487,0.842487
1024,4,1,1,80,842537,0.842537
1024,4,1,1,90,842818,0.842818
1024,4,1,1,100,842828,0.842828
1024,4,1,2,0,842838,0.842838
1024,4,1,2,10,843218,0.843218
1024,4,1,2,20,843629,0.843629
1024,4,1,2,30,843699,0.843699
1024,4,1,2,40,844321,0.844321
1024,4,1,2,50,844541,0.844541
1024,4,1,2,60,844851,0.844851
1024,4,1,2,70,844932,0.844932
1024,4,1,2,80,845012,0.845012
1024,4,1,2,90,845853,0.845853
1024,4,1,2,100,845914,0.845914
1024,4,1,4,0,846344,0.846344
