tamanhoMem,minBloco,requisicoes, - ,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
1024,2,10,1,0,1,0.04,0.04,0.02,41800
1024,2,10,1,10,1,0.04,0.04,0.02,41572
1024,2,10,1,20,1,0.04,0.04,0.01,41772
1024,2,10,1,30,1,0.04,0.04,0.02,41432
1024,2,10,1,40,1,0.04,0.03,0.02,41148
1024,2,10,1,50,1,0.04,0.04,0.01,41712
1024,2,10,1,60,1,0.04,0.04,0.01,41492
1024,2,10,1,70,1,0.04,0.04,0.02,41308
1024,2,10,1,80,1,0.04,0.05,0.01,41320
1024,2,10,1,90,1,0.04,0.04,0.01,41728
1024,2,10,1,100,1,0.04,0.04,0.01,41216
1024,2,20,1,0,1,0.04,0.05,0.02,41720
1024,2,20,1,10,1,0.04,0.04,0.02,41636
1024,2,20,1,20,1,0.04,0.04,0.02,41372
1024,2,20,1,30,1,0.04,0.04,0.02,41632
1024,2,20,1,40,1,0.04,0.05,0.02,41552
1024,2,20,1,50,1,0.04,0.04,0.02,41820
1024,2,20,1,60,1,0.04,0.04,0.02,41580
1024,2,20,1,70,1,0.04,0.05,0.01,41940
1024,2,20,1,80,1,0.05,0.05,0.01,41292
1024,2,20,1,90,1,0.04,0.04,0.02,41980
1024,2,20,1,100,1,0.04,0.04,0.02,41464
1024,2,30,1,0,1,0.05,0.05,0.02,41748
1024,2,30,1,10,1,0.04,0.05,0.02,42020
1024,2,30,1,20,1,0.04,0.05,0.02,41800
1024,2,30,1,30,1,0.05,0.06,0.01,42436
1024,2,30,1,40,1,0.05,0.05,0.02,41852
1024,2,30,1,50,1,0.05,0.05,0.02,41552
1024,2,30,1,60,1,0.05,0.05,0.02,41980
1024,2,30,1,70,1,0.04,0.05,0.02,42004
1024,2,30,1,80,1,0.05,0.05,0.02,41920
1024,2,30,1,90,1,0.05,0.05,0.02,42056
1024,2,30,1,100,1,0.04,0.05,0.02,41920
1024,2,40,1,0,1,0.04,0.06,0.01,41780
1024,2,40,1,10,1,0.04,0.05,0.02,41516
1024,2,40,1,20,1,0.04,0.05,0.02,42380
1024,2,40,1,30,1,0.04,0.05,0.02,42488
1024,2,40,1,40,1,0.04,0.05,0.02,42056
1024,2,40,1,50,1,0.04,0.05,0.02,41868
1024,2,40,1,60,1,0.04,0.05,0.02,42244
1024,2,40,1,70,1,0.04,0.06,0.01,42236
1024,2,40,1,80,1,0.04,0.06,0.01,42236
1024,2,40,1,90,1,0.04,0.05,0.01,42388
1024,2,40,1,100,1,0.04,0.06,0.01,42064
1024,2,50,1,0,1,0.04,0.05,0.02,42212
