tamanhoMem,minBloco,requisicoes, - ,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
1024,2,10,1,0,1,0.02,0.01,0.01,38348
1024,2,10,1,10,1,0.02,0.01,0.01,38324
1024,2,10,1,20,1,0.02,0.01,0.01,38080
1024,2,10,1,30,1,0.02,0.01,0.01,38332
1024,2,10,1,40,1,0.02,0.01,0.01,38324
1024,2,10,1,50,1,0.02,0.01,0.01,38184
1024,2,10,1,60,1,0.02,0.00,0.01,38160
1024,2,10,1,70,1,0.02,0.01,0.01,38236
1024,2,10,1,80,1,0.02,0.01,0.01,38188
1024,2,10,1,90,1,0.02,0.01,0.01,38428
1024,2,10,1,100,1,0.02,0.01,0.01,37812
1024,2,20,1,0,1,0.02,0.01,0.01,38084
1024,2,20,1,10,1,0.02,0.01,0.01,38412
1024,2,20,1,20,1,0.02,0.01,0.01,38184
1024,2,20,1,30,1,0.02,0.00,0.02,38400
1024,2,20,1,40,1,0.02,0.01,0.01,37996
1024,2,20,1,50,1,0.02,0.01,0.01,38448
1024,2,20,1,60,1,0.02,0.01,0.01,38136
1024,2,20,1,70,1,0.01,0.01,0.01,38264
1024,2,20,1,80,1,0.02,0.01,0.01,38096
1024,2,20,1,90,1,0.02,0.01,0.01,38120
1024,2,20,1,100,1,0.02,0.01,0.01,37836
1024,2,30,1,0,1,0.02,0.01,0.01,38184
1024,2,30,1,10,1,0.02,0.01,0.01,38200
1024,2,30,1,20,1,0.02,0.01,0.01,37888
1024,2,30,1,30,1,0.02,0.01,0.01,38128
1024,2,30,1,40,1,0.02,0.01,0.01,38168
1024,2,30,1,50,1,0.02,0.01,0.01,38456
1024,2,30,1,60,1,0.02,0.01,0.01,38092
1024,2,30,1,70,1,0.02,0.01,0.01,38248
1024,2,30,1,80,1,0.02,0.01,0.01,38164
1024,2,30,1,90,1,0.02,0.01,0.01,38228
1024,2,30,1,100,1,0.02,0.01,0.01,38284
1024,2,40,1,0,1,0.02,0.01,0.01,38532
1024,2,40,1,10,1,0.02,0.01,0.01,38384
1024,2,40,1,20,1,0.02,0.01,0.01,38148
1024,2,40,1,30,1,0.02,0.01,0.01,38072
1024,2,40,1,40,1,0.02,0.01,0.01,37948
1024,2,40,1,50,1,0.02,0.01,0.01,38104
1024,2,40,1,60,1,0.02,0.01,0.01,38444
1024,2,40,1,70,1,0.02,0.01,0.01,38320
1024,2,40,1,80,1,0.02,0.01,0.01,38276
1024,2,40,1,90,1,0.02,0.01,0.01,38332
1024,2,40,1,100,1,0.02,0.01,0.01,37996
1024,2,50,1,0,1,0.02,0.01,0.01,38484
1024,2,50,1,10,1,0.02,0.01,0.01,38428
1024,2,50,1,20,1,0.02,0.01,0.01,38180
1024,2,50,1,30,1,0.02,0.00,0.02,38348
1024,2,50,1,40,1,0.02,0.01,0.01,38332
1024,2,50,1,50,1,0.02,0.01,0.01,38056
1024,2,50,1,60,1,0.02,0.01,0.01,37928
1024,2,50,1,70,1,0.02,0.01,0.01,38196
1024,2,50,1,80,1,0.02,0.01,0.01,38436
1024,2,50,1,90,1,0.02,0.01,0.01,38136
1024,2,50,1,100,1,0.02,0.01,0.01,38204
1024,2,60,1,0,1,0.02,0.01,0.01,38064
1024,2,60,1,10,1,0.02,0.01,0.01,38116
