tamanhoMem,minBloco,requisicoes,threads,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
1024,64,10,0,10,34705,,,,
1024,64,10,0,70,34765,,,,
1024,64,10,0,90,34895,,,,
1024,64,10,0,40,35175,,,,
1024,64,10,0,30,35416,,,,
1024,64,10,0,100,35436,,,,
1024,64,10,0,0,35496,,,,
1024,64,10,0,80,35586,,,,
1024,64,10,0,60,35706,,,,
1024,64,10,0,20,36107,,,,
1024,64,10,0,50,36387,,,,
1024,2,10,0,90,40465,,,,
2048,4,10,0,40,40565,,,,
2048,4,10,0,70,40605,,,,
1024,4,10,0,90,40695,,,,
1024,4,10,0,20,40816,,,,
1024,4,10,0,60,40826,,,,
2048,2,10,0,20,40826,,,,
2048,2,10,0,0,41006,,,,
1024,4,10,0,100,41046,,,,
4096,4,10,0,60,41146,,,,
2048,2,10,0,40,41197,,,,
8192,4,10,0,10,41276,,,,
1024,2,10,0,40,41366,,,,
8192,2,10,0,10,41557,,,,
2048,4,10,0,30,41617,,,,
2048,2,10,0,100,41648,,,,
2048,4,10,0,60,41677,,,,
2048,4,10,0,10,41688,,,,
1024,2,10,0,70,41727,,,,
1024,4,10,0,30,41797,,,,
4096,4,10,0,10,41807,,,,
2048,2,10,0,60,41928,,,,
2048,2,10,0,10,41948,,,,
2048,4,10,0,90,42017,,,,
1024,2,10,0,20,42018,,,,
1024,2,10,0,30,42038,,,,
4096,2,10,0,60,42108,,,,
4096,2,10,0,40,42118,,,,
1024,2,10,0,10,42128,,,,
8192,2,10,0,90,42188,,,,
2048,4,10,0,50,42228,,,,
8192,2,10,0,20,42238,,,,
4096,2,10,0,10,42258,,,,
4096,2,10,0,90,42279,,,,
8192,2,10,0,70,42308,,,,
4096,2,10,0,20,42309,,,,
1024,4,10,0,80,42369,,,,
1024,2,10,0,60,42378,,,,
8192,2,10,0,30,42569,,,,
4096,4,10,0,30,42619,,,,
4096,2,10,0,30,42629,,,,
1024,4,10,0,0,42639,,,,
2048,4,10,0,20,42699,,,,
8192,2,10,0,60,42709,,,,
1024,2,10,0,0,42729,,,,
2048,2,10,0,30,42800,,,,
2048,4,10,0,100,42819,,,,
4096,2,10,0,70,42849,,,,
2048,4,10,0,0,43010,,,,
8192,2,10,0,50,43050,,,,
4096,2,10,0,0,43080,,,,
8192,4,10,0,20,43099,,,,
