TamanhoMem,minBloco, requisicoes,threads,cleaningPercent ,execucao ,segundos
1024,64,1000,0,10,1752960,1.75296
1024,64,1000,0,30,1781623,1.781623
1024,64,1000,0,60,1784297,1.784297
1024,64,1000,0,0,1869866,1.869866
1024,64,1000,0,70,1920971,1.920971
1024,64,1000,0,100,1996550,1.99655
1024,64,1000,0,90,2017839,2.017839
1024,64,1000,0,80,2044268,2.044268
1024,64,1000,0,40,2053044,2.053044
1024,64,1000,0,50,2054517,2.054517
1024,64,1000,0,20,2077008,2.077008
2048,64,1000,0,30,2099080,2.09908
2048,64,1000,0,60,2142510,2.14251
2048,64,1000,0,50,2152077,2.152077
2048,64,1000,0,70,2162697,2.162697
2048,64,1000,0,10,2182183,2.182183
2048,64,1000,0,40,2225423,2.225423
1024,32,1000,0,60,2293759,2.293759
4096,64,1000,0,30,2312634,2.312634
2048,64,1000,0,80,2320870,2.32087
4096,64,1000,0,80,2322743,2.322743
1024,32,1000,0,90,2327832,2.327832
1024,32,1000,0,30,2328444,2.328444
1024,32,1000,0,40,2333302,2.333302
2048,64,1000,0,20,2333873,2.333873
1024,32,1000,0,70,2335968,2.335968
1024,32,1000,0,100,2336769,2.336769
1024,32,1000,0,80,2347879,2.347879
1024,32,1000,0,10,2367475,2.367475
4096,64,1000,0,20,2383124,2.383124
1024,32,1000,0,50,2389456,2.389456
4096,64,1000,0,90,2397441,2.397441
2048,64,1000,0,100,2422507,2.422507
1024,32,1000,0,0,2430983,2.430983
2048,64,1000,0,0,2433428,2.433428
2048,32,1000,0,60,2447483,2.447483
1024,32,1000,0,20,2462100,2.4621
2048,32,1000,0,30,2473421,2.473421
2048,64,1000,0,90,2484942,2.484942
4096,64,1000,0,50,2487858,2.487858
8192,64,1000,0,60,2491364,2.491364
2048,32,1000,0,80,2498047,2.498047
4096,64,1000,0,60,2512193,2.512193
8192,64,1000,0,100,2518434,2.518434
8192,64,1000,0,40,2531508,2.531508
2048,32,1000,0,0,2533502,2.533502
2048,32,1000,0,20,2539734,2.539734
1024,16,1000,0,40,2541958,2.541958
1024,16,1000,0,0,2554290,2.55429
8192,64,1000,0,90,2560212,2.560212
1024,16,1000,0,60,2570441,2.570441
2048,32,1000,0,40,2573476,2.573476
1024,16,1000,0,20,2574037,2.574037
8192,64,1000,0,0,2586510,2.58651
2048,32,1000,0,10,2592722,2.592722
1024,16,1000,0,80,2592792,2.592792
4096,64,1000,0,70,2593253,2.593253
1024,2,1000,0,10,2598422,2.598422
1024,2,1000,0,40,2604433,2.604433
2048,32,1000,0,50,2606527,2.606527
1024,4,1000,0,20,2606828,2.606828
1024,16,1000,0,70,2607690,2.60769
2048,32,1000,0,70,2609222,2.609222
4096,32,1000,0,30,2611806,2.611806
4096,64,1000,0,0,2617768,2.617768
8192,64,1000,0,10,2621425,2.621425
1024,2,1000,0,20,2623037,2.623037
1024,4,1000,0,100,2626554,2.626554
1024,8,1000,0,0,2626815,2.626815
1024,2,1000,0,100,2627646,2.627646
4096,32,1000,0,0,2634940,2.63494
1024,4,1000,0,60,2636703,2.636703
1024,16,1000,0,10,2637404,2.637404
4096,64,1000,0,100,2645329,2.645329
4096,64,1000,0,40,2646571,2.646571
