TamanhoMem,minBloco, requisicoes,threads,cleaningPercent ,execucao ,segundos
1024,64,10,0,100,82472,0.082472
1024,64,10,0,40,83194,0.083194
1024,64,10,0,30,83204,0.083204
1024,64,10,0,80,83555,0.083555
1024,64,10,0,10,83795,0.083795
1024,64,10,0,90,83935,0.083935
1024,64,10,0,0,83976,0.083976
1024,64,10,0,60,84176,0.084176
1024,64,10,0,50,85057,0.085057
1024,4,10,0,0,97731,0.097731
4096,2,10,0,0,98372,0.098372
1024,2,10,0,0,98442,0.098442
1024,2,10,0,60,98523,0.098523
1024,64,10,0,70,98792,0.098792
1024,2,10,0,70,99744,0.099744
1024,64,10,0,20,99745,0.099745
2048,2,10,0,0,99775,0.099775
2048,4,10,0,80,100145,0.100145
8192,4,10,0,0,101016,0.101016
4096,4,10,0,0,101307,0.101307
1024,4,10,0,90,101558,0.101558
2048,2,10,0,60,101738,0.101738
8192,2,10,0,0,101739,0.101739
1024,2,10,0,30,101918,0.101918
1024,4,10,0,50,102049,0.102049
1024,4,10,0,100,102219,0.102219
1024,4,10,0,70,102519,0.102519
1024,4,10,0,30,103071,0.103071
2048,4,10,0,0,103371,0.103371
1024,4,10,0,20,103431,0.103431
2048,2,10,0,30,103611,0.103611
2048,4,10,0,70,103963,0.103963
1024,2,10,0,20,104013,0.104013
1024,2,10,0,40,104102,0.104102
2048,4,10,0,30,104203,0.104203
2048,4,10,0,60,104323,0.104323
1024,4,10,0,10,104423,0.104423
1024,2,10,0,90,104643,0.104643
1024,2,10,0,10,104744,0.104744
2048,2,10,0,10,104784,0.104784
2048,2,10,0,20,105074,0.105074
8192,4,10,0,30,105154,0.105154
4096,2,10,0,20,105235,0.105235
1024,4,10,0,60,105324,0.105324
8192,4,10,0,50,105345,0.105345
2048,4,10,0,50,105445,0.105445
2048,4,10,0,90,105465,0.105465
1024,2,10,0,80,105555,0.105555
2048,2,10,0,50,105645,0.105645
4096,2,10,0,60,105685,0.105685
2048,2,10,0,40,105736,0.105736
4096,4,10,0,90,105896,0.105896
1024,2,10,0,100,105926,0.105926
1024,4,10,0,40,106076,0.106076
4096,4,10,0,20,106207,0.106207
2048,4,10,0,20,106477,0.106477
4096,2,10,0,100,106577,0.106577
8192,2,10,0,50,106807,0.106807
4096,4,10,0,30,106818,0.106818
4096,2,10,0,70,106828,0.106828
4096,2,10,0,90,106918,0.106918
2048,2,10,0,70,106948,0.106948
1024,2,10,0,50,106958,0.106958
8192,4,10,0,100,107358,0.107358
4096,2,10,0,80,107438,0.107438
1024,8,10,0,0,107699,0.107699
4096,4,10,0,80,107729,0.107729
8192,2,10,0,80,107739,0.107739
2048,2,10,0,80,107840,0.10784
4096,4,10,0,40,107860,0.10786
2048,4,10,0,10,107999,0.107999
2048,4,10,0,40,108000,0.108
8192,4,10,0,70,108160,0.10816
8192,4,10,0,10,108471,0.108471
4096,4,10,0,10,108691,0.108691
2048,2,10,0,90,108701,0.108701
2048,8,10,0,0,108951,0.108951
8192,2,10,0,60,108962,0.108962
8192,2,10,0,20,109002,0.109002
8192,4,10,0,60,109082,0.109082
8192,4,10,0,20,109162,0.109162
4096,8,10,0,0,109443,0.109443
4096,2,10,0,10,109562,0.109562
4096,4,10,0,50,109663,0.109663
8192,2,10,0,40,109883,0.109883
8192,2,10,0,30,110123,0.110123
8192,2,10,0,10,110344,0.110344
4096,4,10,0,100,110614,0.110614
8192,2,10,0,70,110734,0.110734
4096,4,10,0,60,111086,0.111086
8192,4,10,0,40,111175,0.111175
8192,2,10,0,100,111376,0.111376
1024,8,10,0,40,111606,0.111606
4096,2,10,0,30,112618,0.112618
8192,4,10,0,80,112759,0.112759
1024,16,10,0,0,113189,0.113189
4096,8,10,0,80,114141,0.114141
1024,8,10,0,20,114311,0.114311
1024,8,10,0,80,114361,0.114361
2048,8,10,0,100,114572,0.114572
1024,8,10,0,30,114742,0.114742
4096,16,10,0,0,114872,0.114872
1024,16,10,0,40,115464,0.115464
1024,8,10,0,90,115514,0.115514
2048,8,10,0,70,115614,0.115614
4096,8,10,0,50,115614,0.115614
1024,8,10,0,10,115944,0.115944
2048,8,10,0,50,116015,0.116015
2048,16,10,0,0,116155,0.116155
2048,8,10,0,20,116285,0.116285
4096,8,10,0,70,116335,0.116335
1024,8,10,0,70,116535,0.116535
8192,16,10,0,0,116576,0.116576
4096,4,10,0,70,116626,0.116626
4096,8,10,0,40,116636,0.116636
8192,8,10,0,0,116656,0.116656
1024,8,10,0,50,117036,0.117036
2048,8,10,0,40,117297,0.117297
4096,2,10,0,40,117717,0.117717
4096,8,10,0,20,117768,0.117768
2048,8,10,0,60,117928,0.117928
8192,8,10,0,80,117948,0.117948
2048,8,10,0,90,118018,0.118018
8192,8,10,0,60,118028,0.118028
2048,8,10,0,30,118188,0.118188
2048,16,10,0,80,118339,0.118339
1024,16,10,0,70,118479,0.118479
8192,8,10,0,70,118870,0.11887
4096,8,10,0,90,119080,0.11908
8192,8,10,0,90,119330,0.11933
1024,16,10,0,30,119601,0.119601
8192,8,10,0,40,119631,0.119631
1024,16,10,0,10,119831,0.119831
2048,2,10,0,100,119921,0.119921
4096,8,10,0,60,120132,0.120132
1024,16,10,0,50,120222,0.120222
2048,8,10,0,10,120233,0.120233
1024,16,10,0,20,120423,0.120423
2048,16,10,0,10,120683,0.120683
1024,16,10,0,100,121204,0.121204
8192,16,10,0,70,121274,0.121274
2048,16,10,0,30,121474,0.121474
8192,4,10,0,90,121525,0.121525
2048,16,10,0,100,121545,0.121545
2048,16,10,0,60,121675,0.121675
4096,8,10,0,30,121705,0.121705
2048,16,10,0,90,122005,0.122005
4096,16,10,0,70,122226,0.122226
2048,16,10,0,50,122236,0.122236
