TamanhoMem,minBloco,requisicoes,threads,cleaningPercent,execucao,segundos
1024,64,40,0,40,143285,0.143285
1024,64,40,0,20,148204,0.148204
1024,64,40,0,30,148735,0.148735
1024,64,40,0,70,149557,0.149557
1024,64,40,0,50,150368,0.150368
1024,64,40,0,10,150468,0.150468
1024,64,40,0,0,151931,0.151931
1024,64,40,0,60,152101,0.152101
1024,64,40,0,80,156359,0.156359
1024,64,40,0,90,167409,0.167409
1024,64,40,0,100,169012,0.169012
2048,2,40,0,0,257736,0.257736
1024,2,40,0,90,262224,0.262224
8192,2,40,0,40,265761,0.265761
2048,2,40,0,90,268256,0.268256
8192,2,40,0,70,268676,0.268676
2048,4,40,0,30,268746,0.268746
4096,2,40,0,70,269308,0.269308
1024,32,40,0,0,269488,0.269488
4096,2,40,0,80,270149,0.270149
1024,2,40,0,60,270199,0.270199
1024,2,40,0,50,271111,0.271111
4096,2,40,0,50,271211,0.271211
4096,2,40,0,100,271302,0.271302
4096,2,40,0,0,271882,0.271882
4096,2,40,0,90,271912,0.271912
2048,2,40,0,10,272153,0.272153
2048,4,40,0,0,272163,0.272163
1024,4,40,0,90,273395,0.273395
2048,2,40,0,30,273596,0.273596
4096,2,40,0,10,274096,0.274096
1024,2,40,0,80,274107,0.274107
8192,2,40,0,10,274668,0.274668
8192,2,40,0,20,275059,0.275059
4096,2,40,0,30,275138,0.275138
1024,2,40,0,100,275459,0.275459
8192,2,40,0,60,275549,0.275549
1024,2,40,0,0,276251,0.276251
2048,2,40,0,50,276321,0.276321
1024,2,40,0,70,276801,0.276801
8192,2,40,0,80,276872,0.276872
1024,4,40,0,80,276982,0.276982
1024,4,40,0,50,277142,0.277142
2048,64,40,0,20,277282,0.277282
2048,4,40,0,90,277764,0.277764
2048,4,40,0,20,277964,0.277964
2048,64,40,0,0,278705,0.278705
1024,4,40,0,0,279116,0.279116
1024,2,40,0,40,279186,0.279186
1024,4,40,0,10,279196,0.279196
1024,4,40,0,20,279557,0.279557
4096,2,40,0,40,279817,0.279817
2048,2,40,0,80,280639,0.280639
2048,4,40,0,100,280688,0.280688
4096,4,40,0,0,281310,0.28131
4096,4,40,0,60,281831,0.281831
2048,4,40,0,10,281951,0.281951
8192,4,40,0,40,282012,0.282012
2048,2,40,0,70,282492,0.282492
4096,4,40,0,70,283905,0.283905
2048,64,40,0,50,284045,0.284045
1024,32,40,0,100,284376,0.284376
8192,2,40,0,90,284586,0.284586
4096,2,40,0,60,284757,0.284757
8192,4,40,0,20,284846,0.284846
8192,2,40,0,100,285117,0.285117
1024,4,40,0,30,285237,0.285237
4096,2,40,0,20,285417,0.285417
8192,4,40,0,50,285588,0.285588
8192,2,40,0,0,286079,0.286079
8192,4,40,0,0,286590,0.28659
2048,4,40,0,40,286940,0.28694
2048,4,40,0,80,287692,0.287692
2048,2,40,0,60,289374,0.289374
4096,4,40,0,90,289384,0.289384
1024,4,40,0,40,289455,0.289455
2048,4,40,0,60,289556,0.289556
1024,2,40,0,30,289916,0.289916
1024,2,40,0,10,290677,0.290677
2048,2,40,0,100,290687,0.290687
1024,4,40,0,60,291398,0.291398
4096,4,40,0,100,291749,0.291749
4096,4,40,0,30,291929,0.291929
2048,4,40,0,50,292030,0.29203
8192,4,40,0,60,292721,0.292721
2048,4,40,0,70,292942,0.292942
4096,4,40,0,50,293001,0.293001
8192,4,40,0,80,293131,0.293131
8192,4,40,0,10,293232,0.293232
2048,64,40,0,100,293903,0.293903
1024,4,40,0,100,294975,0.294975
4096,4,40,0,10,295466,0.295466
1024,4,40,0,70,295666,0.295666
8192,4,40,0,30,295766,0.295766
2048,64,40,0,80,296598,0.296598
8192,2,40,0,50,296919,0.296919
8192,4,40,0,90,296919,0.296919
2048,64,40,0,60,297169,0.297169
4096,4,40,0,40,297290,0.29729
8192,4,40,0,70,298001,0.298001
4096,4,40,0,20,298571,0.298571
1024,32,40,0,90,299634,0.299634
2048,64,40,0,40,300245,0.300245
1024,32,40,0,20,302599,0.302599
1024,32,40,0,60,302839,0.302839
8192,4,40,0,100,303010,0.30301
1024,32,40,0,10,304873,0.304873
8192,2,40,0,30,307118,0.307118
1024,32,40,0,50,308159,0.308159
4096,4,40,0,80,308410,0.30841
1024,32,40,0,80,308711,0.308711
2048,64,40,0,30,308861,0.308861
2048,64,40,0,90,310724,0.310724
1024,32,40,0,70,314171,0.314171
2048,64,40,0,10,314952,0.314952
2048,64,40,0,70,314992,0.314992
1024,32,40,0,40,320312,0.320312
2048,2,40,0,40,320433,0.320433
1024,32,40,0,30,323577,0.323577
1024,16,40,0,20,330441,0.330441
1024,16,40,0,100,330961,0.330961
1024,16,40,0,40,332395,0.332395
1024,16,40,0,50,335851,0.335851
1024,16,40,0,60,339217,0.339217
2048,32,40,0,70,340218,0.340218
2048,32,40,0,100,340580,0.34058
1024,16,40,0,90,341271,0.341271
1024,16,40,0,80,341521,0.341521
2048,32,40,0,0,344226,0.344226
2048,32,40,0,50,344838,0.344838
2048,32,40,0,20,346510,0.34651
2048,32,40,0,90,347372,0.347372
1024,16,40,0,70,348764,0.348764
2048,32,40,0,40,349205,0.349205
4096,64,40,0,30,349356,0.349356
2048,32,40,0,60,350478,0.350478
2048,32,40,0,80,350989,0.350989
1024,16,40,0,10,352802,0.352802
4096,64,40,0,0,352812,0.352812
4096,64,40,0,100,355367,0.355367
2048,32,40,0,30,355737,0.355737
4096,64,40,0,20,358062,0.358062
1024,16,40,0,30,360908,0.360908
1024,2,40,0,20,360927,0.360927
