tamanhoBuffer,min,max,numExecucao,numRemocao,numCompactacao,garbagePercent,bloco,tamanhoMedioReq,tamanhoMedioBloco,tempo
1024,16,1024,1000,16672,998,0,1,523,523,169430083
1024,16,1024,1000,14726,998,0,1,528,528,129158104
1024,16,1024,1000,15624,998,0,1,519,519,166854077
1024,16,1024,1000,17292,998,0,1,520,520,139098440
1024,16,1024,1000,18806,998,0,1,535,535,205660754
1024,16,1024,1000,19240,998,0,1,514,514,177278916
1024,16,1024,1000,16194,998,0,1,520,520,179110677
1024,16,1024,1000,19617,997,0,1,534,534,163052636
1024,16,1024,1000,15089,998,0,1,530,530,164465571
1024,16,1024,1000,22864,998,0,1,519,519,187512343
2048,16,1024,1000,98867,996,0,1,503,503,983718561
2048,16,1024,1000,100498,996,0,1,526,526,1002649034
2048,16,1024,1000,99458,995,0,1,530,530,992978075
2048,16,1024,1000,108843,995,0,1,520,520,1112647329
2048,16,1024,1000,88953,995,0,1,506,506,890353446
2048,16,1024,1000,91759,996,0,1,513,513,957847265
2048,16,1024,1000,82024,995,0,1,528,528,878700431
2048,16,1024,1000,96794,995,0,1,504,504,1084052213
2048,16,1024,1000,99108,996,0,1,516,516,1042586549
2048,16,1024,1000,103511,996,0,1,510,510,1034109979
4096,16,1024,1000,178896,991,0,1,519,519,2954857754
4096,16,1024,1000,191991,992,0,1,518,518,3046295880
4096,16,1024,1000,186963,993,0,1,516,516,3005463133
4096,16,1024,1000,170438,993,0,1,516,516,2731192881
4096,16,1024,1000,183907,987,0,1,530,530,2876574787
4096,16,1024,1000,200991,992,0,1,512,512,3123558675
4096,16,1024,1000,190100,986,0,1,507,507,2998403772
4096,16,1024,1000,197234,994,0,1,514,514,3198646858
4096,16,1024,1000,179761,994,0,1,519,519,2902237821
4096,16,1024,1000,184524,993,0,1,532,532,3024838168
8192,16,1024,1000,250083,985,0,1,528,528,6084190092
8192,16,1024,1000,226252,985,0,1,510,510,5448855179
8192,16,1024,1000,243821,983,0,1,525,525,5725145910
8192,16,1024,1000,251673,983,0,1,531,531,6051491567
8192,16,1024,1000,244628,987,0,1,508,508,6628870334
8192,16,1024,1000,240681,982,0,1,527,527,6420389342
8192,16,1024,1000,234848,982,0,1,526,526,5798094290
8192,16,1024,1000,252834,982,0,1,536,536,6207912562
